player,pos,team_currently_with,age_at_signing,start_year,end_year,yrs,value,average_salary,guarantee_at_sign,practical_guarantee
Patrick Mahomes,QB,KC,30,2026,2033,8,504750000,63093750,150250000,397000000
Josh Allen,QB,BUF,28,2025,2030,6,330000000,55000000,147000000,250000000
Trevor Lawrence,QB,JAX,24,2024,2030,5,275000000,55000000,142000000,200000000
Joe Burrow,QB,CIN,26,2023,2029,5,275000000,55000000,146510000,219010000
Brock Purdy,QB,SF,25,2025,2030,5,265000000,53000000,100000000,182550000
Justin Herbert,QB,LAC,25,2023,2029,5,262500000,52500000,133738376,218738376
Lamar Jackson,QB,BAL,26,2023,2027,5,260000000,52000000,135000000,185000000
Jalen Hurts,QB,PHI,24,2023,2028,5,255000000,51000000,110000000,179399000
Dak Prescott,QB,DAL,31,2024,2028,4,240000000,60000000,129000000,231000000
Deshaun Watson,QB,CLE,26,2022,2026,5,230000000,46000000,230000000,230000000
Jordan Love,QB,GB,25,2024,2028,4,220000000,55000000,100800000,160300000
Jared Goff,QB,DET,29,2024,2028,4,212000000,53000000,113611000,170611000
Baker Mayfield,QB,TB,31,2026,2029,3,165000000,55000000,70000000,120000000
Sam Darnold,QB,SEA,27,2025,2027,3,100500000,33500000,37500000,55000000
Daniel Jones,QB,IND,28,2026,2027,2,88000000,44000000,49490000,60000000
Malik Willis,QB,MIA,26,2026,2028,3,67500000,22500000,45000000,45000000
Fernando Mendoza,QB,LV,22,2026,2030,4,57270598,14317650,57270598,57270598
Matthew Stafford,QB,LAR,38,2026,2027,1,55000000,55000000,5000000,55000000
Cameron Ward,QB,TEN,22,2025,2029,4,48839618,12209905,48839618,48839618
Justin Fields,QB,KC,26,2025,2026,2,40000000,20000000,30000000,30000000
Caleb Williams,QB,CHI,22,2024,2028,4,39486058,9871515,39486058,39486058
Bryce Young,QB,CAR,21,2023,2027,4,37955071,9488768,37955071,37955071
Jayden Daniels,QB,WAS,23,2024,2028,4,37746650,9436663,37746650,37746650
Drake Maye,QB,NE,21,2024,2028,4,36639764,9159941,36639764,36639764
C.J. Stroud,QB,HOU,21,2023,2027,4,36279243,9069811,36279243,36279243
Anthony Richardson,QB,IND,21,2023,2026,4,33994031,8498508,33994031,33994031
Ty Simpson,QB,LAR,23,2026,2030,4,25412156,6353039,25412156,25412156
Michael Penix Jr.,QB,ATL,23,2024,2028,4,22882636,5720659,22882636,22882636
Aaron Rodgers,QB,PIT,42,2026,2026,1,22500000,22500000,22000000,22000000
J.J. McCarthy,QB,MIN,21,2024,2028,4,21854796,5463699,21854796,21854796
Bo Nix,QB,DEN,24,2024,2028,4,18613166,4653292,18613166,18613166
Jaxson Dart,QB,NYG,22,2025,2029,4,16977927,4244482,16977927,16977927
Jacoby Brissett,QB,ARI,33,2026,2026,1,15500000,15500000,15500000,15500000
Jameis Winston,QB,NYG,32,2026,2028,2,13000000,6500000,12240000,12240000
Jarrett Stidham,QB,DEN,28,2025,2026,2,12000000,6000000,6990000,6990000
Kirk Cousins,QB,LV,37,2026,2026,1,11300000,11300000,11300000,11300000
Tyler Shough,QB,NO,25,2025,2028,4,10804721,2701180,10804721,10804721
Mitchell Trubisky,QB,TEN,31,2026,2027,2,10500000,5250000,6825000,6825000
Tyson Bagent,QB,CHI,25,2025,2027,2,10000000,5000000,2530000,2530000
Mac Jones,QB,SF,26,2025,2026,2,8410000,4205000,4750000,4750000
Andy Dalton,QB,PHI,37,2025,2026,2,8000000,4000000,5900000,5900000
Mason Rudolph,QB,PIT,29,2025,2026,2,7500000,3750000,3000000,3000000
Carson Beck,QB,ARI,23,2026,2029,4,7405992,1851498,1846176,1846176
Drew Allar,QB,PIT,22,2026,2029,4,7103408,1775852,1626116,1626116
Davis Mills,QB,HOU,26,2025,2026,1,7000000,7000000,10250000,10250000
Marcus Mariota,QB,WAS,32,2026,2026,1,7000000,7000000,6390000,6390000
Jalen Milroe,QB,SEA,22,2025,2028,4,6264086,1566022,1195700,1195700
Dillon Gabriel,QB,CLE,24,2025,2028,4,6226322,1556581,1168232,1168232
Joe Flacco,QB,CIN,41,2026,2026,1,6000000,6000000,4000000,4000000
Gardner Minshew,QB,ARI,29,2026,2026,1,5750000,5750000,5140000,5140000
Cade Klubnik,QB,NYJ,22,2026,2029,4,5598676,1399669,1218676,1218676
Case Keenum,QB,CHI,38,2026,2027,2,5500000,2750000,2900000,2900000
Drew Lock,QB,SEA,28,2025,2026,2,5000000,2500000,2250000,2250000
Tyler Huntley,QB,BAL,28,2026,2027,2,5000000,2500000,3500000,3500000
Cole Payton,QB,PHI,23,2026,2029,4,4759476,1189869,379476,379476
Taylen Green,QB,CLE,23,2026,2029,4,4718164,1179541,338164,338164
Shedeur Sanders,QB,CLE,23,2025,2028,4,4647380,1161845,447380,447380
Athan Kaliakmanis,QB,WAS,22,2026,2029,4,4544656,1136164,164656,164656
Stetson Bennett,QB,LAR,25,2023,2026,4,4539140,1134785,699140,699140
Behren Morton,QB,NE,24,2026,2029,4,4529228,1132307,149228,149228
Garrett Nussmeier,QB,KC,24,2026,2029,4,4500488,1125122,120488,120488
Will Howard,QB,PIT,23,2025,2028,4,4448100,1112025,248100,248100
Riley Leonard,QB,IND,22,2025,2028,4,4435244,1108811,235244,235244
Graham Mertz,QB,HOU,24,2025,2028,4,4428484,1107121,228484,228484
Tommy DeVito,QB,NE,27,2026,2027,2,4400000,2200000,1800000,2000000
Spencer Rattler,QB,NO,23,2024,2027,4,4356480,1089120,336480,336480
